date,un_region,who_region,country,iso_code,cases_new,cases_total,deaths_new,deaths_total,recovered_new,recovered_total,hosp_new,hosp_total,tested_new,tested_total
2021-02-02,Asia,SEARO,India,IN,8635,10766245,94,154486,NA,NA,NA,NA,NA,NA
2021-02-03,Asia,SEARO,India,IN,11039,10777284,110,154596,NA,NA,NA,NA,NA,NA
2021-02-04,Asia,SEARO,India,IN,12899,10790183,107,154703,NA,NA,NA,NA,NA,NA
2021-02-05,Asia,SEARO,India,IN,12408,10802591,120,154823,NA,NA,NA,NA,NA,NA
2021-02-06,Asia,SEARO,India,IN,11713,10814304,95,154918,NA,NA,NA,NA,NA,NA
2021-02-07,Asia,SEARO,India,IN,12059,10826363,78,154996,NA,NA,NA,NA,NA,NA
2021-02-08,Asia,SEARO,India,IN,11831,10838194,84,155080,NA,NA,NA,NA,NA,NA
2021-02-09,Asia,SEARO,India,IN,9110,10847304,78,155158,NA,NA,NA,NA,NA,NA
2021-02-10,Asia,SEARO,India,IN,11067,10858371,94,155252,NA,NA,NA,NA,NA,NA
2021-02-11,Asia,SEARO,India,IN,12923,10871294,108,155360,NA,NA,NA,NA,NA,NA
2021-02-12,Asia,SEARO,India,IN,9309,10880603,87,155447,NA,NA,NA,NA,NA,NA
2021-02-13,Asia,SEARO,India,IN,12143,10892746,103,155550,NA,NA,NA,NA,NA,NA
2021-02-14,Asia,SEARO,India,IN,12194,10904940,92,155642,NA,NA,NA,NA,NA,NA
2021-02-15,Asia,SEARO,India,IN,11649,10916589,90,155732,NA,NA,NA,NA,NA,NA
2021-02-16,Asia,SEARO,India,IN,9121,10925710,81,155813,NA,NA,NA,NA,NA,NA
2021-02-17,Asia,SEARO,India,IN,11610,10937320,100,155913,NA,NA,NA,NA,NA,NA
2021-02-18,Asia,SEARO,India,IN,12881,10950201,101,156014,NA,NA,NA,NA,NA,NA
2021-02-19,Asia,SEARO,India,IN,13193,10963394,97,156111,NA,NA,NA,NA,NA,NA
2021-02-20,Asia,SEARO,India,IN,13993,10977387,101,156212,NA,NA,NA,NA,NA,NA
2021-02-21,Asia,SEARO,India,IN,14264,10991651,90,156302,NA,NA,NA,NA,NA,NA
2021-02-22,Asia,SEARO,India,IN,14199,11005850,83,156385,NA,NA,NA,NA,NA,NA
2021-02-23,Asia,SEARO,India,IN,10584,11016434,78,156463,NA,NA,NA,NA,NA,NA
2021-02-24,Asia,SEARO,India,IN,13742,11030176,104,156567,NA,NA,NA,NA,NA,NA
2021-02-25,Asia,SEARO,India,IN,16738,11046914,138,156705,NA,NA,NA,NA,NA,NA
2021-02-26,Asia,SEARO,India,IN,16577,11063491,120,156825,NA,NA,NA,NA,NA,NA
2021-02-27,Asia,SEARO,India,IN,16488,11079979,113,156938,NA,NA,NA,NA,NA,NA
2021-02-28,Asia,SEARO,India,IN,16752,11096731,113,157051,NA,NA,NA,NA,NA,NA
2021-03-01,Asia,SEARO,India,IN,15510,11112241,106,157157,NA,NA,NA,NA,NA,NA
2021-03-02,Asia,SEARO,India,IN,12286,11124527,91,157248,NA,NA,NA,NA,NA,NA
2021-03-03,Asia,SEARO,India,IN,14989,11139516,98,157346,NA,NA,NA,NA,NA,NA
2021-03-04,Asia,SEARO,India,IN,17407,11156923,89,157435,NA,NA,NA,NA,NA,NA
2021-03-05,Asia,SEARO,India,IN,16838,11173761,113,157548,NA,NA,NA,NA,NA,NA
2021-03-06,Asia,SEARO,India,IN,18327,11192088,108,157656,NA,NA,NA,NA,NA,NA
2021-03-07,Asia,SEARO,India,IN,18711,11210799,100,157756,NA,NA,NA,NA,NA,NA
2021-03-08,Asia,SEARO,India,IN,18599,11229398,97,157853,NA,NA,NA,NA,NA,NA
2021-03-09,Asia,SEARO,India,IN,15388,11244786,77,157930,NA,NA,NA,NA,NA,NA
2021-03-10,Asia,SEARO,India,IN,17921,11262707,133,158063,NA,NA,NA,NA,NA,NA
2021-03-11,Asia,SEARO,India,IN,22854,11285561,126,158189,NA,NA,NA,NA,NA,NA
2021-03-12,Asia,SEARO,India,IN,23285,11308846,117,158306,NA,NA,NA,NA,NA,NA
2021-03-13,Asia,SEARO,India,IN,24882,11333728,140,158446,NA,NA,NA,NA,NA,NA
2021-03-14,Asia,SEARO,India,IN,25320,11359048,161,158607,NA,NA,NA,NA,NA,NA
2021-03-15,Asia,SEARO,India,IN,26291,11385339,118,158725,NA,NA,NA,NA,NA,NA
2021-03-16,Asia,SEARO,India,IN,24492,11409831,131,158856,NA,NA,NA,NA,NA,NA
2021-03-17,Asia,SEARO,India,IN,28903,11438734,188,159044,NA,NA,NA,NA,NA,NA
2021-03-18,Asia,SEARO,India,IN,35871,11474605,172,159216,NA,NA,NA,NA,NA,NA
2021-03-19,Asia,SEARO,India,IN,39726,11514331,154,159370,NA,NA,NA,NA,NA,NA
2021-03-20,Asia,SEARO,India,IN,40953,11555284,188,159558,NA,NA,NA,NA,NA,NA
2021-03-21,Asia,SEARO,India,IN,43846,11599130,197,159755,NA,NA,NA,NA,NA,NA
2021-03-22,Asia,SEARO,India,IN,46951,11646081,212,159967,NA,NA,NA,NA,NA,NA
2021-03-23,Asia,SEARO,India,IN,40715,11686796,199,160166,NA,NA,NA,NA,NA,NA
2021-03-24,Asia,SEARO,India,IN,47262,11734058,275,160441,NA,NA,NA,NA,NA,NA
2021-03-25,Asia,SEARO,India,IN,53476,11787534,251,160692,NA,NA,NA,NA,NA,NA
2021-03-26,Asia,SEARO,India,IN,59118,11846652,257,160949,NA,NA,NA,NA,NA,NA
2021-03-27,Asia,SEARO,India,IN,62258,11908910,291,161240,NA,NA,NA,NA,NA,NA
2021-03-28,Asia,SEARO,India,IN,62714,11971624,312,161552,NA,NA,NA,NA,NA,NA
2021-03-29,Asia,SEARO,India,IN,68020,12039644,291,161843,NA,NA,NA,NA,NA,NA
2021-03-30,Asia,SEARO,India,IN,56211,12095855,271,162114,NA,NA,NA,NA,NA,NA
2021-03-31,Asia,SEARO,India,IN,53480,12149335,354,162468,NA,NA,NA,NA,NA,NA
2021-04-01,Asia,SEARO,India,IN,72330,12221665,459,162927,NA,NA,NA,NA,NA,NA
2021-04-02,Asia,SEARO,India,IN,81466,12303131,469,163396,NA,NA,NA,NA,NA,NA
2021-04-03,Asia,SEARO,India,IN,89129,12392260,714,164110,NA,NA,NA,NA,NA,NA
2021-04-04,Asia,SEARO,India,IN,93249,12485509,513,164623,NA,NA,NA,NA,NA,NA
2021-04-05,Asia,SEARO,India,IN,103558,12589067,478,165101,NA,NA,NA,NA,NA,NA
2021-04-06,Asia,SEARO,India,IN,96982,12686049,446,165547,NA,NA,NA,NA,NA,NA
2021-04-07,Asia,SEARO,India,IN,115736,12801785,630,166177,NA,NA,NA,NA,NA,NA
2021-04-08,Asia,SEARO,India,IN,126789,12928574,685,166862,NA,NA,NA,NA,NA,NA
2021-04-09,Asia,SEARO,India,IN,131968,13060542,780,167642,NA,NA,NA,NA,NA,NA
2021-04-10,Asia,SEARO,India,IN,145384,13205926,794,168436,NA,NA,NA,NA,NA,NA
2021-04-11,Asia,SEARO,India,IN,152879,13358805,839,169275,NA,NA,NA,NA,NA,NA
2021-04-12,Asia,SEARO,India,IN,168912,13527717,904,170179,NA,NA,NA,NA,NA,NA
2021-04-13,Asia,SEARO,India,IN,161736,13689453,879,171058,NA,NA,NA,NA,NA,NA
2021-04-14,Asia,SEARO,India,IN,184372,13873825,1027,172085,NA,NA,NA,NA,NA,NA
2021-04-15,Asia,SEARO,India,IN,200739,14074564,1038,173123,NA,NA,NA,NA,NA,NA
