Value,Lower_CI,Upper_CI,pub_year
0.36,0.13,0.98,1994
1.09,0.91,1.31,1980
0.15,0.03,0.66,1990
0.74,0.6,0.91,1982
1.57,0.69,3.58,1992
0.57,0.35,0.91,1993
2.81,1.73,4.57,1991
0.9,0.79,1.01,1975
0.69,0.43,1.11,1984
0.86,0.78,0.94,1987
0.83,0.67,1.01,1984
0.69,0.52,0.91,1990
0.83,0.72,0.95,1987
0.97,0.44,2.14,1993
0.93,0.72,1.19,1982
0.58,0.47,0.72,1989
0.7,0.61,0.8,1996
0.89,0.8,0.98,1991
0.61,0.48,0.77,1985
0.76,0.39,1.48,1993
0.88,0.74,1.05,2010
0.95,0.82,1.09,2008
0.93,0.8,1.09,2010
1,0.89,1.12,2005
1.14,1,1.32,2002
1.01,0.87,1.18,2011
0.99,0.91,1.07,2002
1.01,0.89,1.15,2000
0.99,0.89,1.09,2002
1.03,0.9,1.17,2010
1,0.87,1.15,2003
0.92,0.81,1.06,2012
1,0.89,1.13,2002
0.97,0.9,1.06,2004
0.54,0.33,0.88,2003
0.64,0.53,0.76,2008
0.99,0.85,1.15,2005
1.02,0.93,1.12,2007
1.1,0.79,1.52,2003
0.91,0.75,1.11,2004
1.28,1.01,1.62,2002
0.91,0.81,1.03,2005
0.93,0.82,1.05,2005
